batch,seq,out,gen_qkv_c,gen_qkv_m,gen_qk_c,gen_qk_m,gen_sv_c,gen_sv_m,gen_add_c,gen_add_m,gen_ffn_c,gen_ffn_m
16,1920,128,4.720142178461538,5.540194252664729,0.2530534006153846,4.771056655765504,0.2539817432615384,4.805908203125,1.5733807261538462,1.8483337875484496,12.587237880123077,14.779459635416668
16,1984,64,2.3414878523076923,2.7482853379360463,0.1275551113846154,2.40489871002907,0.1280235677538461,2.4224853515625,0.7804959507692307,0.9168899890988372,6.244062885415385,7.33154296875
32,1920,128,9.440284356923076,5.542597807655039,0.5061068012307692,9.542113311531008,0.5079634865230769,9.61181640625,3.1467614523076923,1.85073734253876,25.174475760246157,14.791477410368218
32,1984,64,4.682975704615385,2.749477652616279,0.2551102227692308,4.80979742005814,0.2560471355076923,4.844970703125,1.5609919015384617,0.9180823037790696,12.48812577083077,7.337504542151162
64,1920,128,18.880568713846152,5.547404917635659,1.0122136024615385,19.084226623062012,1.0159269730461538,19.2236328125,6.293522904615385,1.85554445251938,50.34895152049231,14.815512960271318
64,1984,64,9.36595140923077,2.751862281976744,0.5102204455384616,9.61959484011628,0.5120942710153846,9.68994140625,3.121983803076923,0.920466933139535,24.97625154166154,7.349427688953488
128,1920,128,37.761137427692304,5.557019137596899,2.024427204923077,38.16845324612403,2.0318539460923075,38.447265625,12.58704580923077,1.86515867248062,100.6979030409846,14.86358406007752
128,1984,64,18.73190281846154,2.7566315406976742,1.0204408910769232,19.23918968023256,1.0241885420307693,19.3798828125,6.243967606153846,0.9252361918604652,49.95250308332308,7.37327398255814
256,1920,128,75.52227485538461,5.57624757751938,4.048854409846154,76.33690649224806,4.063707892184615,76.89453125,25.17409161846154,1.8843871124031009,201.39580608196923,14.959726259689925
256,1984,64,37.46380563692308,2.7661700581395348,2.0408817821538463,38.47837936046512,2.0483770840615385,38.759765625,12.487935212307692,0.9347747093023256,99.90500616664616,7.420966569767442
384,1920,128,113.28341228307691,5.595476017441861,6.073281614769231,114.50535973837208,6.095561838276923,115.341796875,37.761137427692304,1.903615552325581,302.09370912295384,15.055868459302326
384,1984,64,56.19570845538462,2.7757085755813957,3.061322673230769,57.71756904069768,3.072565626092308,58.1396484375,18.73190281846154,0.944313226744186,149.85750924996924,7.468659156976744
512,1920,128,151.04454971076922,5.614704457364341,8.097708819692308,152.67381298449612,8.12741578436923,153.7890625,50.34818323692308,1.922843992248062,402.79161216393845,15.15201065891473
512,1984,64,74.92761127384615,2.785247093023256,4.081763564307693,76.95675872093024,4.096754168123077,77.51953125,24.975870424615383,0.9538517441860463,199.81001233329232,7.516351744186046
